Code,Text
big_5_question,I think about dying all the time.
big_5_question,I had restless sleep.
big_5_question,I have broken into someone else's house or car.
big_5_question,I often ignore my feelings.
big_5_question,I don't speak my mind freely when there might be negative results.
big_5_question,I know that my belief in god / a higher power helps me to understand my purpose in life.
big_5_question,I would never cheat on my taxes.
big_5_question,I keep others at a distance.
big_5_question,I wear clothing that shows off or enhances my best features.
big_5_question,I don't get particularly upset when i lose things.
big_5_question,I am a hard worker.
big_5_question,I spill things.
big_5_question,I get upset when i can't pursue my current interests.
big_5_question,I wear stylish clothing.
big_5_question,I am a domineering person.
big_5_question,I seek conflict.
big_5_question,I rarely enjoy being with people.
big_5_question,I make well-considered decisions.
big_5_question,I am a seductive person.
big_5_question,I must try to maintain harmony within my group.
big_5_question,I get caught up in the excitement when others are celebrating.
big_5_question,I throw things across the room when angry.
big_5_question,I am never bored.
big_5_question,I am valued by others for my objectivity.
big_5_question,I believe that most people would lie to get ahead.
big_5_question,I tend to be admired by others.
big_5_question,I choose the easy way.
big_5_question,I sometimes get lost in my daydreams.
big_5_question,I have sometimes had to tell a lie.
big_5_question,I know that i'm a special person.
big_5_question,I will do anything for my career.
big_5_question,I can control my emotions.
big_5_question,I get a kick out of really scaring people.
big_5_question,I learn things at an acceptable rate.
big_5_question,I enjoy the beauty of nature.
big_5_question,I am always worried about something.
big_5_question,I often worry about things to the extent that my intellectual performance is impaired.
big_5_question,I have difficulty keeping a conversation going
big_5_question,I remain on guard to keep from being tricked or manipulated.
big_5_question,I am easily annoyed.
big_5_question,I am sometimes sure that other people can tell what i am thinking.
big_5_question,"I listen to others, even if i disagree."
big_5_question,I would rather be alone than in bad company.
big_5_question,I find it difficult to sit still for long periods of time.
big_5_question,I found evidence that i had done things that i did not remember doing.
big_5_question,I become easily frightened.
big_5_question,I believe it is always better to be safe than sorry.
big_5_question,I talk without thinking.
big_5_question,I tend to think about something for hours.
big_5_question,I feel sometimes that i all-of-a-sudden am in a strange place.
big_5_question,I maintain high energy throughout the day.
big_5_question,I am the last to laugh at a joke.
big_5_question,I get irritated easily.
big_5_question,I keep my sense of humor even in gloomy situations.
big_5_question,I keep to myself.
big_5_question,I do not easily share my feelings with others.
big_5_question,"I often tell myself that i'll do an activity tomorrow, even when i have enough time to complete it today."
big_5_question,I do things for a reason.
big_5_question,I love children.
big_5_question,I prefer friends who are excitingly unpredictable.
big_5_question,I like to take my time.
big_5_question,I am annoyed by others' mistakes.
big_5_question,I try to avoid speaking in public
big_5_question,I feel relieved after inflicting pain on myself.
big_5_question,I listen to my heart rather than my brain.
big_5_question,I generally lack the energy to get things done.
big_5_question,I use my attractiveness to get what i want.
big_5_question,I am easily distracted when i'm trying to focus my attention.
big_5_question,I believe that giving is more important than receiving.
big_5_question,I can read people like a book.
big_5_question,I feel that other people are out to get me.
big_5_question,I try not to think about the needy.
big_5_question,I have been told that i am strange or weird.
big_5_question,I tell people about it when i'm irritated.
big_5_question,I believe that important decisions should be based on logical reasoning.
big_5_question,"I waste money, or lose it gambling."
big_5_question,I seldom experience sudden intuitive insights.
big_5_question,I am not afraid of providing criticism.
big_5_question,I have saved so many things that they get in the way.
big_5_question,I have thoughts of injuring myself.
big_5_question,I don't feel the need to be close to others.
big_5_question,I believe that people are basically honest and good.
big_5_question,I suspect that people like to talk to me because my ideas are unusual.
big_5_question,I can be vicious.
big_5_question,I do not like poetry.
big_5_question,I would enjoy campaigning for political office.
big_5_question,I disapprove of gift giving because it encourages weakness.
big_5_question,I wish that i was somebody else.
big_5_question,I have no sympathy for criminals.
big_5_question,I know how to play the bagpipes.
big_5_question,I never want to be thought of as average.
big_5_question,I go on shopping sprees.
